"H1","Label","Area","Perim."
"10","140:M1-K-45","33112","716.548"
"11","140:M1-K-50","33128","705.678"
"12","140:M1-K-55","33189","711.335"
"1","141:NI-BAPTA-00","36924","736.850"
"2","141:NI-BAPTA-05","36903","736.607"
"3","141:NI-BAPTA-10","36888","735.678"
"4","141:NI-BAPTA-15","36850","738.507"
"5","141:NI-BAPTA-20","36846","739.092"
"6","141:NI-BAPTA-25","36837","739.092"
"7","141:NI-BAPTA-30","36820","738.749"
"8","141:NI-BAPTA-35","36768","737.578"
"9","141:NI-BAPTA-40","36790","741.578"
"10","141:NI-BAPTA-45","36787","735.921"
"11","141:NI-BAPTA-50","36753","739.578"
"12","141:NI-BAPTA-55","36735","739.235"
"13","141:NI-BAPTA-60","36713","739.578"
"1","142:NI-BAPTA-00","37431","749.578"
"2","142:NI-BAPTA-05","37523","764.205"
"3","142:NI-BAPTA-10","37540","757.134"
"4","142:NI-BAPTA-15","37580","756.306"
"5","142:NI-BAPTA-20","37641","757.963"
"6","142:NI-BAPTA-25","37646","760.548"
"7","142:NI-BAPTA-30","37659","754.264"
"8","142:NI-BAPTA-35","37710","750.507"
"9","142:NI-BAPTA-40","37719","762.933"
"10","142:NI-BAPTA-45","37759","761.235"
"11","142:NI-BAPTA-50","37804","751.921"
"12","142:NI-BAPTA-55","37803","759.720"
"1","143:NI-BAPTA-00","34487","709.536"
"2","143:NI-BAPTA-05","34495","712.850"
"3","143:NI-BAPTA-10","34467","717.921"
"4","143:NI-BAPTA-15","34492","714.365"
"5","143:NI-BAPTA-20","34508","717.193"
"6","143:NI-BAPTA-25","34551","714.950"
"7","143:NI-BAPTA-30","34538","711.536"
"8","143:NI-BAPTA-35","34530","718.021"
"9","143:NI-BAPTA-40","34570","720.607"
"10","143:NI-BAPTA-45","34556","718.850"
"11","143:NI-BAPTA-50","34559","713.779"
"12","143:NI-BAPTA-55","34595","715.779"
"1","144:NI-BAPTA-00","42085","790.448"
"2","144:NI-BAPTA-05","42113","797.661"
"3","144:NI-BAPTA-10","42031","794.933"
"4","144:NI-BAPTA-15","42033","797.661"
"5","144:NI-BAPTA-20","42049","799.661"
"6","144:NI-BAPTA-25","42018","791.619"
"7","144:NI-BAPTA-30","42019","804.732"
"8","144:NI-BAPTA-35","42029","795.762"
"9","144:NI-BAPTA-40","41986","792.690"
"10","144:NI-BAPTA-45","41966","803.075"
"11","144:NI-BAPTA-50","41953","794.690"
"12","144:NI-BAPTA-55","41895","794.347"
"1","145:NI-BAPTA-00","35649","713.495"
"2","145:NI-BAPTA-05","35710","720.808"
"3","145:NI-BAPTA-10","35684","716.566"
"4","145:NI-BAPTA-15","35669","711.838"
"5","145:NI-BAPTA-20","35632","710.767"
"6","145:NI-BAPTA-25","35640","714.323"
"7","145:NI-BAPTA-30","35639","712.423"
"8","145:NI-BAPTA-35","35638","714.909"
"9","145:NI-BAPTA-40","35639","712.423"
"10","145:NI-BAPTA-45","35627","708.524"
"11","145:NI-BAPTA-50","35603","714.323"
"12","145:NI-BAPTA-55","35603","714.323"
"1","146:NI-BAPTA-00","41176","775.820"
"2","146:NI-BAPTA-05","41218","776.406"
"3","146:NI-BAPTA-10","41253","776.406"
"4","146:NI-BAPTA-15","41265","774.164"
"5","146:NI-BAPTA-20","41303","771.678"
"6","146:NI-BAPTA-25","41348","773.092"
"7","146:NI-BAPTA-30","41336","775.578"
